"","ecoregion","Site","lat","long","indicator","relative_severity","iucn_status"
"1","Ndzuani","Bambao_mtsanga","-12.20883333",44.5225,"HC",100,"CR"
"2","Ndzuani","Mpoundri","-12.303833",44.429467,"HC",7.33347566182752,"NT/LC"
"3","Ndzuani","Mutsa Muhune","-12.318533",44.441917,"HC",80.6717904924566,"CR"
"4","Ndzuani","Nkohani Shindrini","-12.318067",44.448317,"HC",0,"NT/LC"
"5","Ndzuani","Plage Moya","-12.31175",44.4328,"HC",17.6665243381725,"NT/LC"
"6","Ndzuani","Ouani_01","-12.0647",44.2557,"HC",16.3962425277541,"NT/LC"
"7","Ndzuani","Dzindri Yantsini","-12.249128",44.350077,"HC",38.2899231426132,"VU"
"8","Ndzuani","Hamare_01","-12.240493",44.334006,"HC",86.0253751372453,"CR"
"9","Ndzuani","Hamare_02","-12.241253",44.333174,"HC",21.2852263023057,"NT/LC"
"10","Ndzuani","Mabamboni","-12.244921",44.329091,"HC",69.9188727583262,"EN"
"11","Ndzuani","Madjibaridi","-12.2433333",44.34805556,"HC",98.5215627668659,"CR"
"12","Ndzuani","Mnadzijou","-12.242777",44.3497222,"HC",98.4415029888984,"CR"
"13","Ndzuani","Mrojou","-12.2440278",44.3556667,"HC",77.7433817250214,"EN"
"14","Ndzuani","Anlamadjou","-12.19683333",44.22866667,"HC",23.430828351836,"NT/LC"
"15","Ndzuani","Fumboni","-12.18536",44.29144,"HC",55.5508112724167,"EN"
"16","Ndzuani","Habwanajibou","-12.22028",44.25693,"HC",30.465414175918,"VU"
"17","Ndzuani","Harimandago","-12.20559",44.22253,"HC",31.7036720751494,"VU"
"18","Ndzuani","Hashelafou","-12.1664",44.23878,"HC",69.598633646456,"EN"
"19","Ndzuani","Lambwa","-12.23235",44.28096,"HC",12.6601195559351,"NT/LC"
"20","Ndzuani","Mayindrini","-12.16027",44.20214,"HC",70.132365499573,"EN"
"21","Ndzuani","Shitsangasheli","-12.25126",44.31506,"HC",66.0333048676345,"EN"
"22","Ndzuani","Darsalama","-12.264369",44.390131,"HC",64.4961571306576,"EN"
"23","Ngazidja","Iconi_01","-11.752227",43.22752,"HC",100,"CR"
"24","Ngazidja","Iconi_02","-11.74426",43.23023,"HC",82.2073578595318,"CR"
"25","Ngazidja","Chindini","-11.9293",43.49171667,"HC",79.5317725752508,"EN"
"26","Ngazidja","Ifoundihe Chamboini","-11.91326",43.42691,"HC",66.5551839464883,"EN"
"27","Ngazidja","Itsoundzou","-11.873187",43.3866534,"HC",25.3511705685619,"NT/LC"
"28","Ngazidja","Male","-11.89966667",43.52521667,"HC",32.2876254180602,"VU"
"29","Ngazidja","Bandamadji","-11.67013333",43.26388333,"HC",51.0100334448161,"EN"
"30","Ngazidja","Bangoi","-11.36711",43.37958,"HC",89.5652173913044,"CR"
"31","Ngazidja","Fassi","-11.39113",43.27732,"HC",78.1939799331104,"EN"
"32","Ngazidja","Ivoini","-11.39149",43.40332,"HC",87.9598662207358,"CR"
"33","Ngazidja","Memboimboini","-11.37151",43.32579,"HC",41.7391304347826,"VU"
"34","Ngazidja","Mitsamiuli","-11.3791",43.28735,"HC",67.6120401337793,"EN"
"35","Ngazidja","Ndjelezi","-11.37226",43.39113,"HC",85.5518394648829,"CR"
"36","Ngazidja","Ndroude","-11.40755",43.41835,"HC",91.7056856187291,"CR"
